comment,sentiment
ผ้านิ่ม เด้งๆ ดีกว่าที่คิดไว้ ชอบคะ,pos
โอเครค่ะได้สินค้าตามรูปผ้าใส่สบาย,pos
เสื้อสวยถูกใจค่ะส่งเร็วทันใจดี,pos
คุณภาพเหมาะสมกับราคา ใช้งานOK ต่อดูภาพจากคอมชัดมาก จัดส่งเร็วดี,pos
เนื้อผ้าดีมากๆๆๆๆเกินราคา กำลังจะสั่งเพิ่มอีก ช้าหน่อยแต่ได้มาไม่ผิดหวังเลยค่ะ,pos
ใช้ดี ราคาไม่แพงเกินค่ะ พอใจมาก,pos
ใช้ดีมากค่ะ ช่วยให้หน้าตึงขึ้น หน้าไม่เหี่ยว  เราใช้มาตลอดค่ะ สั่งอีกแน่,pos
จากการพิสูจน์เป็นหนังแท้ เลือกไม่ผิด งานเย็บละเอียด ชอบครับ,pos
แพ็คสินค้าดี สินค้าคุณภาพ สมราคา แฟนประทับใจครับ,pos
ส่งของได้เร็วมาก สินค้าใช้ได้ดีไม่มีปัญหา คุ้ม,pos
สูตรที่ไม่เหนียวเหนอะหนะ ทำให้ผิวรู้สึกชุ่มชื้น ไม่ทำให้เกิดสิว ทำให้ผิวดูธรรมชาติ รู้สึกเบาบนผิว เบาและไม่มัน,pos
ไม่ทำให้เกิดสิว เหมาะสำหรับผิวที่แพ้ง่าย ไม่ทำให้เกิดสิว รู้สึกเบาบนผิว ป้องกันรังสีแสงอาทิตย์ในระดับสูง สูตรเจลซึมซาบเร็ว ทำให้ผิวรู้สึกชุ่มชื้น,pos
ทำให้ผิวรู้สึกชุ่มชื้น ทำให้ผิวดูธรรมชาติ ไม่ทำให้เกิดหน้าขาว เบาและไม่มัน สูตรที่ไม่เหนียวเหนอะหนะ ใช้ง่ายและผสมสีได้ดี,pos
สูตรที่ไม่เหนียวเหนอะหนะ รู้สึกเบาบนผิว ใช้ง่ายและผสมสีได้ดี ไม่ทำให้เกิดสิว ทำให้ผิวดูธรรมชาติ,pos
สินค้าใช้ดี ซึมไว กันแดดดีมาก หน้าไม่ไหม้ ทางร้านจัดส่งรวดเร็วมาค่ะ สั่งเวลาได้รับเวลา จัดส่งไวเว่อวังอลังการณ์มากเลยค่ะ แพคมาดีไม่มีเสียหาย,pos
เนื้อใส ครีมนิดๆหน่อย ไม่เหนียวหน้าเลย ใช้ดีไม่มีสิ่งอุดตัน คุณภาพดีเริ่ด ดีโคตร,pos
คุณภาพของสินค้าดีมาก ความคุ้มค่าของสินค้าดีมาก ความรวดเร็วในการจัดส่งสินค้ามาก แพ็คสินค้ามาดี,pos
คุณภาพดี เนื้อสัมผัสเจล ซื้อตอนแฟลชเซลราคาไม่แพง จัดส่งรวดเร็วมาก แพ็คสินค้ามาดีมาก การให้บริการจากร้านค้าดีมาก,pos
ราคาดีแล้วไซซ์ใหญ่ด้วยสมราคา ขนส่งเร็วมาก,pos
การส่งรวดเร็วมาก พึ่งสั่งสินค้าไปวันเดียวได้รับแล้ว รวดเร็วทันใจมาก ราคาก็ดีมาก คุ้มมาก ได้ตอนลดราคาพอดี ยิ่งทำให้คุ้มค่ามาก คุณภาพใช้ได้เลย ดูดีมาก ไม่ผิดหวัง,pos
ทำให้ผิวรู้สึกชุ่มชื้น สูตรเจลซึมซาบเร็ว ทำให้ผิวดูธรรมชาติ เบาและไม่มัน เหมาะสำหรับผิวที่แพ้ง่าย ไม่ทำให้เกิดสิว ทำให้ผิวรู้สึกชุ่มชื้น,pos
ได้รับสินค้าตรวตามที่สั่ง เคยใช้ครีมกันแดดสูตรนี้แบบซองมาแล้วเลยสั่งแบบขนาดใหญ่ขึ้น ครีมกันแดดซึมเร็วเหมาะสำหรับทุกสภาพผิว เบาและไม่มัน ทำให้ผิวดูธรรมชาติ เหมาะสำหรับใช้ทุกวัน ทำให้ผิวรู้สึกชุ่มชื้น,pos
ป้องกันรังสีแสงอาทิตย์ในระดับสูง ป้องกันรังสีแสงอาทิตย์ในระดับสูง ป้องกันรังสีแสงอาทิตย์ในระดับสูง ป้องกันรังสีแสงอาทิตย์ในระดับสูง ป้องกันรังสีแสงอาทิตย์ในระดับสูง,pos
ซื้อมาใช้หลายครั้ง ดีจริง ราคาประหยัดกับ น้อย ทา ช้อนชาตามคำแนะนำ กันดำได้จริงหน้าใสขึ้น ทาแล้วหน้าจะสว่างขึ้นหนึ่งระดับ,pos
เป็นกันแดดที่ใช้ดีมาก ราคาถูกมาก ชอบมาก ของดีมีคุณภาพ จัดส่งค่อนข้างเร็ว แพ็คของดีมาก ร้านนี้ของแท้แน่นอน,pos
คุณภาพ ดี เนื้อสัมผัส ครีมเหลว ประสิทธิภาพ ดี ได้รับสินค้ารวดเร็ววัน แพ็คสินค้ามาไม่มีเสียหาย สินค้าครบถ้วน สั่งของ รับประกันได้ว่าเป็นแท้แน่นอน,pos
ได้รับสินค้าแล้ว คุ้มค่าคุ้มราคาการใช้งาน ราคาโดนใจมาก ร้านจัดส่งรวดเร็ว ขนส่งส่งรวดเร็ว ราคาดี ครบถ้วน ถูกต้องตามสั่งดีมาก สินค้าใช้งานได้ แพ็คสินค้าได้แน่นหนาดี,pos
ไม่ทำให้เกิดสิว ทำให้ผิวดูธรรมชาติ เบาและไม่มัน ป้องกันรังสีแสงอาทิตย์ในระดับสูง สูตรที่ไม่เหนียวเหนอะหนะ ช่วยให้เมคอัพเนื้อเนียน เหมาะสำหรับใช้ทุกวัน ป้องกันรังสีแสงอาทิตย์ในระดับสูง ทำให้ผิวรู้สึกชุ่มชื้น,pos
รู้สึกเบาบนผิว เหมาะสำหรับการใช้งานประจำวัน การป้องกันแสงแดดที่ยาวนาน เนื้อเจลซึมซาบเร็ว,pos
สูตรที่ไม่เหนียวเหนอะหนะ ไม่ทำให้เกิดหน้าขาว ใช้ง่ายและผสมสีได้ดี ทำให้ผิวรู้สึกชุ่มชื้น,pos
สูตรเจลซึมซาบเร็ว เหมาะสำหรับผิวที่แพ้ง่าย ไม่ทำให้เกิดสิว เหมาะสำหรับใช้ทุกวัน ไม่อุดตันรูขุมขน ใช้ง่ายและผสมสีได้ดี,pos
สูตรที่ไม่เหนียวเหนอะหนะ รู้สึกเบาบนผิว ใช้ง่ายและผสมสีได้ดี ไม่ทำให้เกิดหน้าขาว ปกป้องจากรังสีแสงอาทิตย์ที่ยาวนาน,pos
ส่งเร็วมาก สินค้าคุณภาพดีมากเลย ส่งเร็วมาก สินค้าคุณภาพดีมาก ส่งเร็วมาก สินค้าคุณภาพดี ซึมเร็ว คุ้มค่ามากที่สุด ถูกและดีมาก แพ็คมาดีมาก,pos
เหมาะสำหรับทุกสภาพผิว สูตรบางเบาและไม่มัน ติดทนนานและกันน้ำได้ ไม่ทิ้งคราบเหนียว แพ็คสินค้าดี,pos
คุณภาพ ดี ใช้ทุกวัน ซื้อหลอดใหญ่ไปเลย เนื้อสัมผัส หนืดนิดๆ สีขาวขุ่น ประสิทธิภาพ ดี หน้าไม่เป็นฝ้า,pos
สินค้าจัดส่งรวดเร็ว แพ็คของรวดเร็ว สั่งตอนเที่ยงคืน วันถัดมาได้ของเลย ราคาดีมากด้วยครับ,pos
คุณภาพ ดีมาก ใช้มาตลอด หลายปีมาก แล้ว ทาแล้วไม่แพ้ แห้งเร็ว แถมกันได้นานมาก ทั้งที่ออกแดดบ่อย,pos
ส่งของครบ มีของแถมมาด้วย ครียกันแดดที่เหมาะสำหรับใช้ประจำวัน ไม่ทิ้งคราบเหนียว ทำให้ผิวเนียน,pos
พัสดุจัดส่งเร็วมาก ส่งมาเรียบร้อย สินค้าตัวนี้ใช้ดี ไม่เหนียวหน้า ใช้แล้วชอบเลยให้คุณแม่ลองด้วย,pos
จัดส่งรวดเร็ว 2 วันถึง เหมาะสำหรับการใช้งานประจำวัน ไม่ทิ้งคราบเหนียว คุ้มค่ากับเงินที่จ่าย,pos
ซื้อเป็นรอบที่ 3 แล้ว ใช้ดีมาก ซึมเข้าผิวได้อย่างรวดเร็ว ไม่เหนียวเหนอะหนะ มาเป็นประจำ ทุกวัน,pos
สินค้าคุณภาพดีสั่งวันเดียวได้รับของภายใน 2วัน เยี่ยมมาก ครีมกันแดดที่ดีสำหรับใช้กับใบหน้า,pos
ป้องกันรังสียูวีได้อย่างมีประสิทธิภาพสูง เหมาะสำหรับใช้ประจำวัน ช่วยควบคุมความมันบนผิว,pos
ได้รับสินค้าตรงตามที่สั่งซื้อ สินค้ามีคุณภาพดี การจัดส่งทำได้รวดเร็วตามกำหนดเวลาที่ระบุไว้,pos
ใช้มานาน บอกเลยว่าดีมาก เหมาะสำหรับทุกสภาพผิว สูตรบางเบาและไม่มัน ติดทนนานและกันน้ำได้,pos
ระดับ น้ำหนักเบาและไม่มันเยิ้ม การป้องกันแสงแดดที่ยาวนาน ไม่อุดตันรูขุมขน ให้ความชุ่มชื้นแก่ผิว ทิ้งผิวสัมผัสเรียบและด้าน เหมาะสำหรับผิวแพ้ง่าย ซึมเข้าสู่ผิวอย่างรวดเร็ว เหมาะสำหรับกิจกรรมกลางแจ้ง,pos
ได้ลองใช้แล้ว ชอบ ประทับใจ หอมกลิ่นเลมอน เนื้อบางเบา ส่งเร็ว และจะมีสั่งใช้อีกอย่างแน่นอน ของผลิตภัณฑ์ยี่ห้อนี้,pos
เกลียด ชอบหลอกให้สั่งซื้อ ที่ไหนได้ไม่มีสิ้นค้า,neg
สินค้าด้อยคุณภาพ,neg
สินค้าหมดทำไมไม่แจ้งขึ้นว่าหมดอะ.กดใส่ตะกร้าไปเถอะ.เซ็งเรย,neg
อย่าทำแบบนี้กับใครอีกนะค่ะแย่มากค่ะ,neg
คือเเบบผิดหวังมาก เเย่ที่สุดได้ของมาฝาเเตก เเตกนิดหน่อยไม่ว่าเเตกเยอะมาก ครั้งเดียวพอจบเเยก😢,neg
ส่งช้าจัง รอนานมาก ยกเลิกก้อไม่ได้,neg
แย่มากกกกกกค่ะ เอาของพังมาให้ฉุนมาดค่ะไม่พอใจเป็นอย่างมากค่ะ. ส่งของ ก็ไม่ได้ใบเสร็จ. ไม่ไหวจะเคลียร์,neg
ไม่แนะนำซื้อมาใช้ได้วันเดียวใช้ไม่ได้แล้ว,neg
แย่ๆสั่งสินค้าไปหลายวันแล้วไม่ส่งให้สักทีเหนื่อยกับการรอคอย,neg
เสียความรู้สึกอย่างมาก สวยแต่ในรูปใส่ได้ครั้งเดียว ไม่ดี,neg
ใช้เดือนเดียวพังแย่ๆมากๆ,neg
เสียใจความรู้สึกมากกระเป๋าบางมากไม่ตรงกะแบบสินค้าที่ลงการแพ็คของส่งก็แย่เอาถุงดำที่ใส่ขยะแถมสกปรกมากทำไมไม่ตรวจสอบก่อนส่งถึงมือลูกค้าเราไปซื้อของคุณนะไม่ได้ไปขอฟรีๆปรับปรุงด่วน!!!!,neg
การส่งของแย่มาก ขนาดตะโกนว่ารอเดี๋ยว ยังโยนสินค้าข้ามรั้ว ถ้าโน้ตบุคเสียหายจะทำยังไง,neg
ใช้ในรถระบบเสีย พังใช้ต่อไม่ได้,neg
ผิดหวัง ลบไม่ออก,neg
หมดอายุแล้วไม่ควรเอามาลงขายค่ะเสียใจผิดหวังมากๆค่ะกว่าจะหมดแพงด้วยนะ,neg
ส่งช้ามาก ตอนนี้ยังไม่ได้ของ,neg
ได้รับของแล้วผิดหวังมาก ไม่ดีเลยค่ะ,neg
สินค้าไม่มีคุณภาพสายกางเกงไม่เท่ากัน,neg
ช้าสุดๆรอจนรำคาญละ,neg
สินค้าไม่เหมือนในรูป ผิดหวังมาก เย็บไม่ดีเลย,neg
ใช้แล้วสิวขึ้นเต็มเลยไม่รู้แพ้รึเปล่า....เซ็งเลยเหลือตั้งเยอะเสียดายมาก,neg
คุณภาพแย่มากใช้งานไม่ได้แม้แต่ครั้งเดียว,neg
ผิดหวังมาก ไม่แนะนำให้ใช้ค่ะ,neg
สรุปแพงกว่าท้องตลาดคะแย่มากเสียความ,neg
รู้สึกผิดหวังมาก ไม่ใช่แบบที่หวังไว้เลยย,neg
แย่มากๆๆๆๆ ไม่ส่งของแถมมาให้ตามที่โฆษณา,neg
งานไม่ค่อยดี ไม่สมกับราคา,neg
แย่มากเลย นมใกล้หมดอายุ ครั้งนี้ครั้งสุดท้ายนะคะที่จะสั่ง,neg
ใช้ได้ไม่กี่เดือนก็พังล่ะยังใช้ไม่คุ้มกับราคาที่ซื้อมาเลย,neg
เสียดายที่ไว้ใจใช้บริการผิดหวังมาก เอาสินค้าของคุณคือไปเถอะ แล้วคืนเงินให้เรา สั่งของก็บ่อยต่อไปไม่สั่งแล้ว แย่มากๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,neg
แย่มากอย่าสั่งนะ,neg
แย่มาก รูปดูสวยหรูดีนะ แต่มาเจอของจริงนี่แย่สุดๆ สินค้าไม่สมกับราคาเลย,neg
แย่มากเสียดายเงิน,neg
สินค้ามีรอยตำหนิ เป็นรอยง่าย,neg
สินค้าคุณภาพแย่มาก วัสดุเหมือนหมดอายุแล้ว,neg
สินค้าส่งมาแตกหัก ยังไม่ได้ประกอบเลย เสียความรู้สึก,neg
ซื้อแล้วผิดหวังสินค้าไม่มีคุณภาพ,neg
แย่มาก บิดน้ำไม่แห้ง เสียดายตังมาก,neg
ตกใจมาก โคตรแย่ ก่อนหน้านี้ใช้ดี ชอบมาก ปลอดภัยดี ตอนระเบิดมีกลิ่นไหม้กับประกายไฟ ไม่เป็นแผลแต่เป็นดำๆ ที่มือ แสบเล็กน้อย,neg
ไม่พึงพอใจเลย  สินค้าผลิตจากพลาสติกด้อยคุณภาพ  ก๊องแก๊งมาก,neg
แพ็คของไม่ดีมากเลยครับข้างในกล่องฉีกขาดไม่สวยเลย,neg
คุณภาพสินค้าไม่น่าประทับใจ,neg
วัสดุแย่ ขาดง่าย เสียดายเงิน,neg
อย่าขายเลย ยกเลิกโปรนี้เถอะ เสียความรู้สึก ดูมาหลายเดือนละ,neg
แบตแย่มากค่ะ หมดเร็วมาก รับประกันไม่ได้ชวยอะไรเลย,neg
เห็นแล้วรู้สึกแย่ ไม่มั่นใจในสินค้าร้านนี้,neg
คุณภาพแย่มากค่ะ ใช้ครั้งแรกมีกลิ่นไหม้ออกมาเลยแถมข้าวไม่สุกด้วย,neg
เสียเวลามากๆ กว่าจะทำเรื่องคืนเงินได้ ของก็ต้องใช้ ต้องไปซื้อใหม่ เสียเงินซ้ำอีก ระบบการทำงานแย่มาก มันเหมือนกันมากเลยหรือ ส่งผิดรุ่นได้,neg
หลอกลวง ต้มตุ๋น เอาของปลอมมาขาย ร้านโจร,neg
เกรดต่ำเหมือนกับว่าเอาของถูกๆมาคละกัน,neg
สั่งซื้อแล้วอยู่ดีๆมายกเลิก เสียความรู้สึกเลยครับ,neg
ไม่เป็นไปตามที่โฆษณา ส่งสินค้าไม่ตรงตามกำหนด เมื่อสินค้ามีปัญหาไม่รับผิดชอบใด,neg
ไม่ซึมซับลูกอับชื้นโฆษณาเกินจริงเสียเงินฟรีไม่คุ้มแย่มาก,neg
ไม่มีคู่มือ แย่มากครับ กล่องก็ไม่มี ใส่ถุงมาให้ ทุเรศมากครับ,neg
สินค้าไม่ตรงปก ของคุณภาพร้อยกว่าบาท แย่ๆ,neg
แย่มากๆสั่งของจ่ายเงิน แต่ไม่ได้ของ!,neg
ใช้ได้แป็บเดียวพังแล้ว,neg
สินค้าชำรุด ส่งมาถึงแกะดู สินค้าแตก,neg
ซื้อมายังไม่ทันเล่นเลยพังซะแล้ว,neg
เสียความรู้สึกค่ะมาไม่ตรงที่สั่ง,neg
มันผิดพลาดอะไรหรือลงรูปเพื่อหลอกให้คนสั่งซื้ออธิบายหน่อย,neg
สินค้าคุณภาพไม่ค่อยดี,neg
สินค้ามีตำหนิ แย่มากๆ ไม่ไหวๆเลย ถ้ามีตำหนิก็บอกด้วยครับ จะได้ทำใจก่อนซื้อ,neg
เปราะบางมากความแข็งแรงน้อย มันง่ายต่อการแตกหัก,neg
ขนส่งก็ช้าสินค้ามีตำหนิแพ็คสินค้าไม่ดีมีรอยบุบ,neg
สินค้าเหมือนของปลอม เนื่อครีมเหมือนซอง 10 บาท บรรจุภัณฑ์เหมือนก๊อปมา ไม่เหมือนของจริงในห้างเลย เสียดายตังค์ ซื้อมาทิ้ง,neg
รายการไม่ดี ที่จับไม่ดีและสั้น,neg
ใช้แล้วแพ้คะ มีผื่น,neg
ครั้งนี้ซื้อ 9 ชิ้น จะซื้อเยอะแค่ไหน ก็ไม่เคยมีของแถมสักชิ้น อ่านรีวิวลูกค้าท่านอื่นที่ได้ของแถม ก็ต้องมาคิดว่าทำไมทางร้านต้องเลือกปฏิบัติกับเราขนาดนี้ เหมือนเราไม่ใช่ลูกค้า การกดดาวให้คะแนน คือ ต้องให้คะแนนทางร้าน 5 ดาว ถ้าไม่ใช่ 5 ดาว ก็กดส่งรีวิวนี้ไม่ได้,neg
ขนส่งน่าเกลียดมากปรับปรุงด้วย ก่อนส่งไม่โทร วางของไว้นอกบ้าน หายรับผิดชอบไหม,neg
แพ็คของไม่ดีเลยจ้า ขวดเปื้อนด้วยต้องเอามาล้างน้ำอีกหลายครั้งเลย เหมือนฝุ่นเยอะมาก,neg
การจัดส่งสุดแสนจะช้า ห่วยแตกที่สุดใน 3 โลก รอของนาน 10 วันเต็มหลังกดสั่ง คือโปร 9 เดือน 9 บริษัทมีแต่ความสามารถในการจัดโปร คือ เก่งมากจ้ะ แต่ ห่วยสุดจะบรรยาย แบบนี้อย่าขายเองเลย จงให้ อื่นที่เป็นมืออาชีพช่วยขายให้แบบเดิมอะดีแล้วเนาะ เข่น ไปอะไรไปเนาะ นี่ถ้าไม่ตามจิกตามจี้ก็คงไม่ได้ของนะ ถามไป วันที่ 17 กย ก็เลยได้ของ 19 กย สุด ไปเลยจ้า เอาไป 10 กะโหลก หาเปลี่ยน มั้ยย,neg
เพิ่งเคยซื้อ ผ่านร้านออนไลน์ครั้งแรกบอกเลยว่าไม่ประทับใจ งงกับตรรกะการให้ของแถมมาก คือเราสั่งไปทั้งหมด 3 แต่ ที่มูลค่าน้อยที่สุดกลับได้ของแถมเยอะสุด คือ อื่นๆได้แค่แผ่นอนามัย 1 ซอง แต่ออเดอร์ที่มูลค่าน้อยที่สุดกลับได้แผ่นอนามัยบวกกับเอนชัวร์อีก 1 ซอง อีกทั้งร้านค้าโปรโมชั่นไม่ชัดเจนไม่สามารถอ่านได้ว่าต้องซื้อถึงมูลค่าเท่าไหร่ถึงจะได้ของแถมพนักงานก็ตอบคำถามค่อนข้างช้ามาก ก็เข้าใจอ่ะนะว่าออเดอร์เยอะมีลูกค้าสอบถามเข้ามาเยอะก็ไปคิดวิธีแก้ปัญหากันเอาเองแล้วกันนะสำหรับเราคง บาย,neg
ใส่กันกระแทกมา แต่กล่องก็ยังบุบ,neg
จัดส่งไว สินค้าไม่มีปัญหา แต่ช่วงที่ซื้อโลตัสลดราคาถูกกว่าเยอะค่ะ เสียดายที่ไม่ได้เช็คราคาที่อื่นก่อนซื้อ,neg
ส่งมาผิด,neg
แสบตา,neg
ใช้คำว่าสภาพแย่อะสาว55555,neg
ส่งช้ากว่าจะได้รับคิดว่าจะไม่ได้ซะแล้ว,neg
เพิ่งเคยซื้อ ผ่านร้านออนไลน์ครั้งแรกบอกเลยว่าไม่ประทับใจ งงกับตรรกะการให้ของแถมมาก คือเราสั่งไปทั้งหมด 3 แต่ ที่มูลค่าน้อยที่สุดกลับได้ของแถมเยอะสุด คือ อื่นๆได้แค่แผ่นอนามัย 1 ซอง แต่ออเดอร์ที่มูลค่าน้อยที่สุดกลับได้แผ่นอนามัยบวกกับเอนชัวร์อีก 1 ซอง อีกทั้งร้านค้าโปรโมชั่นไม่ชัดเจนไม่สามารถอ่านได้ว่าต้องซื้อถึงมูลค่าเท่าไหร่ถึงจะได้ของแถมพนักงานก็ตอบคำถามค่อนข้างช้ามาก ก็เข้าใจอ่ะนะว่าออเดอร์เยอะมีลูกค้าสอบถามเข้ามาเยอะก็ไปคิดวิธีแก้ปัญหากันเอาเองแล้วกันนะสำหรับเราคง บาย,neg
ล่าช้าในการจัดส่งอย่างมาก คิดตามหลายครั้ง,neg
แอลกอฮอล์แรงมาก,neg
ของผลิตต้นปี 2019 นานไปหน่อย,neg
ส่งเร็ว สินค้าครบถ้วน แต่กล่องยับเยินไปหน่อยค่ะ,neg
ไม่อัพเดทการจัดส่ง ค้างอยู่ที่เตรียมจัดส่งเป็นเดือน,neg
แพ็คของแย่มาก สภาพกล่องไม่ได้เลย ดัน แค่ด้านบน แทนที่จะรองทั้งบนและล่าง ยังดีที่ของในกล่องไม่เสียหาย ปรับปรุงด่วน,neg
รอนาน,neg
ไม่เห็นมี อย วันที่นี่คือวันผลิต หรือวันหมดอายุคะ,neg
สั่งมาแล้วแต่ได้รับเป็นผ้าอนามัยมาแทน แจ้งทางแอดมินไป บอกว่าต้องใช้เวลา 23 วันจะมีเจ้าหน้าที่โทรมาหา ก็เลยไม่แน่ใจว่าได้ของที่สั่ง เมื่อไหร่ เพิ่งเคยสั่งครั้งแรกก็เจอส่งผิดเลย ยิ่งกว่า อีก ได้รับสินค้าเรียบร้อยแล้วค่ะ ทางเจ้าหน้าที่โทรมาติดต่อ ส่งสินค้าตามมาให้ ส่วนที่ส่งผิดเป็นสินค้าสมนาคุณไป,neg
ส่งช้ามาก เทียบกับของบริษัทอื่นแล้วถือว่าช้ามาก ค่ะ,neg
ที่ปากขวดมีตำหนิแต่กลิ่นไม่เหมือนที่ซื้อมาจากโลตัสเลย การส่งอยู่ในระยะเวลาหัก1ดาวที่ปากขวด,neg
ส่งของช้ามาก ต้องทักไปถามถึงจะจัดส่ง,neg
คุณภาพสินค้าดีอยู่แล้ว แต่ร้านค้าส่งของช้ามาก กว่าจะได้คือรอเป็นอาทิตย์เลย,neg
สินค้าโอเค แพ็คของมาดี แต่รอส่งนานมาก สั่ง7ได้ของ11 ส่งเร็วกว่านี้จะดีมาก เลย บางอันผลิตปี20เดือน10 ยังพอโอเคอยู่ บางอันผลิตปี21,neg
ส่งช้านิดหน่อยแต่ตามกำหนดค่ะ,neg
คลังสินค้าคาโอ ทำงานแย่มากส่งของช้ามากถึงมากที่สุดช้ามาก,neg
แพ็คอย่างดี,pos
ดีค่ะ,pos
ดี,pos
ส่งเร็วมาก,pos
ส่งไวมาก,pos
แย่,neg
ส่งช้ามาก,neg
แย่,neg
แพคดี,pos
พังยับเยิน,neg
ไม่ดี,neg
ห่วย,neg
แพงเกินไป,neg
เยี่ยม,pos
สั่งสินค้า 2วันถึง มาอย่างดียังไม่ได้บองใช้,neu
กวดดมวกววกวกวกวด พวกกววกสพสกสสำสำ,neu
ห่อมาดี ครีมจะหมดอายุเมื่อไร,neu
ส่งไงค่ะ แพ็คแน่นหนา เดี่ยวลองใช้จะมารีวิวเพิ่ม,neu
